year,month,route,monthly_flight_count
2015,1,sjc-lax,582
2015,1,den-eug,58
2015,1,boi-sfo,151
2015,1,mtj-den,62
2015,1,buf-clt,111
2015,1,pit-den,93
2015,1,bwi-dal,93
2015,1,isp-bwi,128
2015,1,mci-bos,46
2015,1,pit-fll,66
2015,1,anc-sfo,5
2015,1,iah-lrd,85
2015,1,atl-tri,167
2015,1,atl-cha,201
2015,1,dtw-ttn,3
2015,1,azo-ord,118
2015,1,ord-rno,23
2015,1,mia-sea,36
2015,1,mco-syr,31
2015,1,ric-fll,31
2015,1,smf-jfk,19
2015,2,lax-ege,28
2015,2,dfw-tpa,220
2015,2,sea-lax,488
2015,2,sea-bli,28
2015,2,jax-bos,65
2015,2,slc-bos,44
2015,2,dca-sea,52
2015,2,cle-iah,114
2015,2,sce-ord,56
2015,2,stl-lga,202
2015,2,lga-orf,81
2015,2,bwi-pit,75
2015,2,hou-den,131
2015,2,ind-dca,56
2015,2,tpa-hou,84
2015,2,bur-sfo,122
2015,2,iad-tpa,92
2015,2,smf-ord,28
2015,1,oak-ord,31
2015,1,acy-myr,31
2015,1,slc-cod,31
2015,1,den-phl,176
2015,1,mdw-dtw,258
2015,1,sdf-bwi,81
2015,1,slc-mdw,66
2015,1,rsw-hpn,31
2015,1,iad-cmh,27
2015,1,dtw-evv,75
2015,1,bmi-den,3
2015,1,aex-dfw,93
2015,1,cvg-jfk,31
2015,1,aus-jfk,139
2015,1,pdx-dca,31
2015,1,sea-koa,62
2015,1,atl-buf,129
2015,1,sju-cle,6
2015,1,fnt-msp,17
2015,2,dfw-cle,155
2015,2,dfw-ict,56
2015,2,sea-iah,168
2015,2,mia-stl,56
2015,2,fll-pvd,84
2015,2,atl-cae,211
2015,2,dsm-atl,80
2015,2,crw-atl,95
2015,2,okc-ord,118
2015,2,den-lit,43
2015,2,mem-mco,28
2015,2,phx-ont,222
2015,2,pit-hou,24
2015,2,lax-geg,28
2015,2,dsm-dtw,22
2015,2,lax-mtj,8
2015,2,las-dca,28
2015,2,atl-azo,4
2015,1,tpa-dtw,260
2015,1,sfo-smf,215
2015,1,iah-tyr,43
2015,1,den-pia,5
2015,1,fll-phx,88
2015,1,crp-hou,111
2015,1,dal-okc,89
2015,1,lga-atl,717
2015,1,mke-lga,85
2015,1,msp-atl,418
2015,1,ege-iah,31
2015,1,roc-ord,94
2015,1,bna-iad,22
2015,1,dro-dfw,66
2015,1,dfw-gsp,58
2015,1,tys-lga,25
2015,1,cae-dfw,84
2015,1,den-hsv,26
2015,1,dfw-elp,115
2015,1,ktn-wrg,31
2015,1,psg-jnu,31
2015,1,tpa-hpn,31
2015,1,mco-pse,42
2015,1,jax-dca,62
2015,1,slc-ewr,31
2015,1,anc-brw,18
2015,1,rno-msp,3
2015,2,ewr-dfw,233
2015,2,dfw-bos,209
2015,2,ege-mia,28
2015,2,pbi-bos,189
2015,2,hpn-mco,102
2015,2,pbi-dca,81
2015,2,pbi-bdl,28
2015,2,dtw-okc,23
2015,2,msp-ewr,120
2015,2,bwi-den,139
2015,2,bwi-fnt,28
2015,2,ont-den,100
2015,2,stl-sat,51
2015,2,eug-slc,47
2015,2,atl-ase,28
2015,2,rdu-phl,88
2015,2,bdl-ewr,7
2015,1,rsw-msp,144
2015,1,mmh-sfo,35
2015,1,sfo-rno,161
2015,1,fat-den,66
2015,1,den-oma,220
2015,1,iah-bzn,9
2015,1,sfo-cos,5
2015,1,ewr-lax,353
2015,1,iah-iad,128
2015,1,sea-sfo,571
2015,1,dfw-clt,418
2015,1,stl-clt,93
2015,1,hnl-lax,452
2015,1,iah-smf,53
2015,1,bwi-mci,55
2015,1,dtw-stl,83
2015,1,isp-mco,90
2015,1,las-bna,67
2015,1,mdw-oak,62
2015,1,okc-stl,35
2015,1,pbi-isp,62
2015,1,oma-ewr,53
2015,1,iah-gsp,35
2015,1,tlh-atl,172
2015,1,msp-ttn,3
2015,1,mhk-ord,58
2015,1,sea-msp,186
2015,1,bos-pdx,23
2015,1,sjc-jfk,19
2015,1,jax-fll,62
2015,1,sna-msp,83
2015,1,pbi-iad,17
2015,2,san-mia,28
2015,2,sea-mia,28
2015,2,dca-jfk,167
2015,2,hsv-atl,178
2015,2,lit-dfw,111
2015,2,lga-cmh,148
2015,2,iah-sav,30
2015,2,hou-hrl,128
2015,2,mco-rdu,86
2015,2,phx-geg,73
2015,2,sba-den,55
2015,2,mbs-ord,108
2015,2,dtw-ciu,52
2015,2,rdm-den,28
2015,2,slc-rap,23
2015,2,xna-ewr,20
2015,1,cpr-den,111
2015,1,iah-clt,362
2015,1,bur-oak,347
2015,1,lbb-aus,27
2015,1,btr-iah,187
2015,1,den-lft,31
2015,1,cll-iah,52
2015,1,gtr-atl,83
2015,1,atl-pia,60
2015,1,ilm-atl,148
2015,1,mia-jfk,327
2015,1,mia-mco,279
2015,1,anc-lax,19
2015,1,sea-bur,93
2015,1,grr-atl,112
2015,1,iad-hdn,2
2015,1,msp-mli,12
2015,1,buf-msp,2
2015,2,tus-dfw,195
2015,2,mia-las,112
2015,2,ord-tpa,220
2015,2,slc-sjc,150
2015,2,fll-bdl,89
2015,2,atl-phx,303
2015,2,bwi-slc,76
2015,2,phx-jfk,167
2015,2,pit-lga,61
2015,2,roc-iad,57
2015,2,iah-dal,182
2015,2,cmh-ord,300
2015,2,rst-ord,112
2015,2,cid-dfw,112
2015,2,spi-dfw,42
2015,2,ama-dal,104
2015,2,ewr-mdw,148
2015,2,hou-bhm,48
2015,2,phx-bur,154
2015,2,roc-mco,41
2015,2,sjc-bur,180
2015,2,sfo-acv,131
2015,2,lax-eug,50
2015,2,ciu-dtw,52
2015,2,den-sba,55
2015,1,las-msp,224
2015,1,fca-den,41
2015,1,lax-aus,241
2015,1,den-mfr,35
2015,1,iah-bos,131
2015,1,phl-fll,214
2015,1,las-atl,298
2015,1,sat-tpa,27
2015,1,iad-tpa,101
2015,1,den-ogg,22
2015,1,ord-crw,35
2015,1,iad-mci,4
2015,1,sce-ord,60
2015,1,hnl-san,58
2015,1,mqt-ord,26
2015,1,mdt-ord,76
2015,1,bis-ord,31
2015,1,dfw-txk,89
2015,1,mia-sfo,98
2015,1,stt-mia,84
2015,1,san-cvg,4
2015,1,smf-atl,44
2015,1,msp-msy,29
2015,1,stx-atl,5
2015,2,mia-bos,196
2015,2,pdx-lih,16
2015,2,ewr-bos,320
2015,2,rsw-msp,134
2015,2,atl-pns,179
2015,2,ewr-dtw,209
2015,2,alb-atl,78
2015,2,las-dtw,238
2015,2,btr-dfw,222
2015,2,bna-tpa,104
2015,2,mco-bna,113
2015,2,mem-mdw,48
2015,2,msn-slc,16
2015,2,rsw-clt,176
2015,2,iad-syr,9
2015,2,jac-iah,6
2015,1,lax-den,495
2015,1,imt-msp,31
2015,1,slc-rap,30
2015,1,psp-iah,36
2015,1,san-sfo,567
2015,1,slc-btm,62
2015,1,pwm-clt,31
2015,1,bwi-mem,31
2015,1,msp-stl,181
2015,1,sat-mco,31
2015,1,hou-elp,81
2015,1,ord-eri,58
2015,1,ttn-cvg,3
2015,1,pbi-ttn,13
2015,1,ord-azo,118
2015,1,sju-mia,217
2015,1,sea-msy,31
2015,1,msp-tus,19
2015,1,phl-msp,175
